nct_id,brief_title,phase,enrollment_actual,lead_sponsor_class,conditions,duration_days,num_sites,num_countries,num_arms,num_interventions,enrollment_per_site,has_multiple_arms,num_inclusion_criteria,num_exclusion_criteria,total_criteria,criteria_text_length,min_age_years,max_age_years,age_range_years,sex_restricted,is_phase2,is_phase3,is_industry_sponsored,is_cancer,is_diabetes,is_hiv,is_asthma,is_pain,is_hypertension,is_depression,is_schizophrenia,enrollment_success
NCT03028363,A Study of Olumacostat Glasaretil Gel in Subjects With Acne Vulgaris,PHASE3,759.0,INDUSTRY,Acne Vulgaris,336,49,3,2,2,15.489795918367347,1,3,10,13,1677,9.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT01175473,Effects of Lixisenatide Compared to Liraglutide on the Postprandial Plasma Glucose in Patients With Type 2 Diabetes,PHASE2,148.0,INDUSTRY,Type 2 Diabetes Mellitus,91,7,1,2,5,21.142857142857142,1,4,24,28,4773,18.0,74.0,56.0,0,1,0,1,0,1,0,0,0,0,0,0,1
NCT00200967,Asthma Clinical Research Network (ACRN) Trial - Long-Acting Beta Agonist Response by Genotype (LARGE),PHASE3,87.0,OTHER,Asthma,1155,7,1,2,2,12.428571428571429,1,5,4,9,812,18.0,90.0,72.0,0,0,1,0,0,0,0,1,0,0,0,0,0
NCT01641510,PRAsugrel or clopIdogrel In Acute Coronary SyndromE With CYP2C19 GENEtic Variants,PHASE3,70.0,OTHER,Acute Coronary Syndromes,1946,1,1,2,2,70.0,1,3,11,14,808,20.0,80.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT01157858,Everolimus and LongActing Octreotide Trial in Polycystic Livers,PHASE2,44.0,OTHER,Polycystic Liver Disease,762,1,1,2,2,44.0,1,15,23,38,3024,18.0,70.0,52.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT01214603,A Study in Participants With Acute Leukemia,PHASE2,20.0,INDUSTRY,Leukemia,762,4,1,1,1,5.0,0,9,15,24,4147,18.0,65.0,47.0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCT01557179,Evaluation of the Efficacy and Safety of Hyaluronic Acid Vaginal Gel to Ease Vaginal Dryness,PHASE2,144.0,INDUSTRY,The Primary Objective of This Study Was to Assess the Efficacy and Safety of Hyaluronic Acid Vaginal Gel in Treating Vaginal Dryness,365,0,0,2,2,144.0,1,3,8,11,653,25.0,70.0,45.0,1,1,0,1,0,0,0,0,0,0,0,0,1
NCT00532220,"Study Into the Effect of Ibandronate for the Treatment of Bone Marrow Edema in Relation to Spontaneous or Non-traumatic Osteonecrosis of the Knee: A Randomized Double-blind, Placebo-controlled Trial",PHASE3,30.0,OTHER,"Osteonecrosis of the Knee, Bone Marrow Edema of the Knee",2800,1,1,2,2,30.0,1,1,9,10,811,20.0,75.0,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT00368030,A Study of Eszopiclone in Subjects With Insomnia Related to Major Depressive Disorder,PHASE3,545.0,INDUSTRY,"Insomnia, Depressive Disorder, Major",274,65,1,2,2,8.384615384615385,1,11,18,29,4391,21.0,64.0,43.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT04300985,Magnesium Sulfate Versus Dexmedetomidine on Anesthesia Awakening.,PHASE3,90.0,OTHER,Cholecystectomy,445,1,1,3,3,90.0,1,1,1,2,540,18.0,70.0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT00904618,Safety and Efficacy Study on the Implantation of the Tension-Free Vaginal Tape (TVT-Secur) Under Local Anesthesia,PHASE2,48.0,OTHER,Urinary Stress Incontinence,790,1,1,1,3,48.0,0,2,0,2,153,18.0,65.0,47.0,1,1,0,0,0,0,0,0,0,0,0,0,1
NCT00321321,The Beta Cell Responsiveness to Glucose-dependent Insulinotropic Polypeptide (GIP) With and Without Sulfonylurea in Patients With Type 2 Diabetes,PHASE2,12.0,OTHER,"Diabetes Mellitus, Type 2",334,1,1,1,1,12.0,0,8,9,17,743,18.0,65.0,47.0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCT06086626,"A Study to Assess the Safety, Tolerability, and Pharmacokinetics of Cefiderocol in Hospitalized Neonates and Infants",PHASE2,30.0,INDUSTRY,Gram-Negative Bacterial Infections,382,4,3,2,2,7.5,1,0,0,0,3150,18.0,0.25,47.0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCT00385086,Lumbar Spinal Fibrosis and TNF Alpha Inhibition,PHASE3,38.0,OTHER,Post Operative Sciatica by Lumbar Spinal Fibrosis,2863,1,1,2,2,38.0,1,11,10,21,1093,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT00193687,Bifeprunox in the Treatment of Schizophrenia,PHASE3,986.0,INDUSTRY,Schizophrenia,853,0,0,1,1,986.0,0,0,0,0,305,18.0,75.0,57.0,0,0,1,1,0,0,0,0,0,0,0,1,1
NCT00460395,Surgery Versus Stereotactic Radiosurgery in the Treatment of Single Brain Metastasis: A Randomized Trial,PHASE3,64.0,OTHER,Brain Cancer,2891,1,1,1,2,64.0,0,7,6,13,693,16.0,65.0,47.0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCT01675804,"Computer-assisted Cognitive Rehabilitation (CACR), Placebo CACR and Psycho-stimulants in the Treatment of ADHD",PHASE3,34.0,OTHER,Attention Deficit Disorder With Hyperactivity,183,1,1,3,3,34.0,1,3,5,8,177,7.0,12.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0
NCT02017353,Effect of Curcumin Addition to Standard Treatment on Tumour-induced Inflammation in Endometrial Carcinoma,PHASE2,7.0,OTHER,Endometrial Carcinoma,1096,1,1,1,1,7.0,0,2,5,7,313,18.0,65.0,47.0,1,1,0,0,0,0,0,0,0,0,0,0,0
NCT04897412,"A Study to Evaluate the Efficacy, Safety, and Tolerability of CBL-514 Injection for Reducing Subcutaneous Fat (Stage 2)",PHASE2,75.0,INDUSTRY,Subcutaneous Fat,401,5,2,2,2,15.0,1,0,0,0,6831,18.0,64.0,46.0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCT00096161,Pentostatin and Lymphocyte Infusion in Preventing Graft Rejection in Patients Who Have Undergone Donor Stem Cell Transplant,PHASE2,36.0,OTHER,"Acute Lymphoblastic Leukemia, Acute Myeloid Leukemia, Chronic Lymphocytic Leukemia, Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Graft Versus Host Disease",4475,5,2,1,4,7.2,0,10,8,18,2845,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT02063854,"A Phase II/III, Double-blind, Parallel Group Comparative Study of Oral Administration of NE-58095 Tablets",PHASE2/PHASE3,871.0,INDUSTRY,Involutional Osteoporosis,640,25,1,7,4,34.84,1,0,0,0,1952,50.0,65.0,47.0,0,1,1,1,0,0,0,0,0,0,0,0,1
NCT04426890,To Compare Efficacy and Safety of CT-P39 and EU-approved Xolair in Patients With Chronic Spontaneous Urticaria,PHASE3,634.0,INDUSTRY,Chronic Spontaneous Urticaria,869,1,1,6,2,634.0,1,2,6,8,583,12.0,75.0,63.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT01293643,A Study to Compare the Efficacy and Safety of a Combination of Ketoconazole and Clindamycin Compared to Tetracycline/Amphotericin B Combination Cream for the Treatment of Bacterial Vaginosis and Vaginal Candidiasis (P08077),PHASE3,99.0,INDUSTRY,"Vaginosis, Bacterial, Candidiasis, Vulvovaginal",245,0,0,2,2,99.0,1,3,9,12,797,18.0,45.0,27.0,1,0,1,1,0,0,0,0,0,0,0,0,0
NCT02716909,Pessary in Singleton Gestations With Short Cervix Without Prior Preterm Birth,PHASE3,300.0,OTHER,Preterm Birth,487,1,1,2,1,300.0,1,3,11,14,662,18.0,50.0,32.0,1,0,1,0,0,0,0,0,0,0,0,0,1
NCT01134536,Pharmacokinetics and Safety Study of Tapentadol for Postsurgical Pain in Children and Adolescents,PHASE2,45.0,INDUSTRY,"Pain, Postoperative, Postoperative Pain",517,17,4,1,1,2.6470588235294117,0,5,4,9,1764,6.0,17.0,11.0,0,1,0,1,0,0,0,0,1,0,0,0,0
NCT01585168,Functional Neuroimaging of Alcoholism Vulnerability (PIT),PHASE2,71.0,OTHER,Healthy,1613,1,1,4,2,71.0,1,2,13,15,1546,18.0,35.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT01594281,Multicenter 12 Months Clinical Study to Evaluate Efficacy and Safety of Ranibizumab Alone or in Combination With Laser Photocoagulation vs. Laser Photocoagulation Alone in Proliferative Diabetic Retinopathy (PRIDE),PHASE2,107.0,INDUSTRY,Proliferative Diabetic Retinopathy (PDR),1820,23,1,3,2,4.6521739130434785,1,3,5,8,581,18.0,65.0,47.0,0,1,0,1,0,0,0,0,0,0,0,0,1
NCT00745147,Comparison of TCM and Laxatives for Adults With Chronic Constipation,PHASE3,93.0,OTHER,Chronic Constipation,638,1,1,2,2,93.0,1,3,9,12,1057,20.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT01665053,The EVOLVE II Clinical Trial To Assess the SYNERGY Stent System for the Treatment of Atherosclerotic Lesion(s),PHASE3,1684.0,INDUSTRY,Coronary Artery Disease,2213,126,16,2,2,13.365079365079366,1,12,34,46,5856,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT03067844,Vascular Effects of Alirocumab in Acute MI-Patients,PHASE3,294.0,OTHER,"Coronary Vessel, Coronary Circulation, Atheroma; Myocardial",1632,9,4,2,1,32.666666666666664,1,11,22,33,3923,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCT00890968,Safety and Efficacy Study of Triamcinolone Acetonide DuraPeel to Treat Hand Dermatitis,PHASE2,56.0,INDUSTRY,Hand Dermatoses,123,3,1,2,2,18.666666666666668,1,4,14,18,2746,18.0,65.0,47.0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCT00479661,Dexmedetomidine Versus Propofol for Continuous Sedation in the Intensive Care Unit (ICU),PHASE3,500.0,INDUSTRY,Continuous Sedation in Initially Sedated Adults in ICU,1035,40,7,2,2,12.5,1,6,19,25,2660,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT03140657,The Effects of Nanocurcumin on Treg Cells and Th17 Cells Responses in Ankylosing Spondylitis Patients,PHASE2,24.0,OTHER,Ankylosing Spondylitis,264,1,1,2,2,24.0,1,5,7,12,573,23.0,46.0,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT05549505,A Trial Using ARV-471 or Anastrozole in Post-Menopausal Women With Breast Cancer Prior to Surgery,PHASE2,152.0,INDUSTRY,Breast Cancer,526,49,4,2,3,3.1020408163265305,1,6,10,16,2650,18.0,65.0,47.0,1,1,0,1,1,0,0,0,0,0,0,0,1
NCT01138605,TMC114-TiDP29-C232 - Study Providing Continued Access to Treatment With Darunavir (DRV)/Ritonavir (Rtv) for Children Coming From Any of the Three Ongoing Tibotec Sponsored Pediatric Studies With DRV,PHASE2,46.0,INDUSTRY,HIV-1 Infections,2598,13,8,9,15,3.5384615384615383,1,3,4,7,820,3.0,99.0,96.0,0,1,0,1,0,0,1,0,0,0,0,0,0
NCT03434275,Evaluation of Preoperative N1539 in Total Knee Arthroplasty,PHASE3,194.0,INDUSTRY,"Pain, Postoperative",456,6,1,2,2,32.333333333333336,1,5,11,16,1690,35.0,80.0,45.0,0,0,1,1,0,0,0,0,1,0,0,0,0
NCT02743494,An Investigational Immuno-therapy Study of Nivolumab or Placebo in Participants With Resected Esophageal or Gastroesophageal Junction Cancer,PHASE3,794.0,INDUSTRY,Advanced Cancer,3038,204,31,2,2,3.892156862745098,1,3,4,7,651,18.0,65.0,47.0,0,0,1,1,1,0,0,0,0,0,0,0,1
NCT04909905,Glutamine Supplementation and Short-term Mortality in Covid-19,PHASE3,60.0,OTHER,Covid19,153,1,1,2,2,60.0,1,1,5,6,416,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT05463484,"Effects of a Composition on the Oral Microbiome, pH, Nitrite/Nitrate Ratio, Elastases and Inflammation in Oral Dysbiosis",PHASE2/PHASE3,100.0,INDUSTRY,Oral Dysbiosis,732,1,1,3,3,100.0,1,3,10,13,544,18.0,70.0,52.0,0,1,1,1,0,0,0,0,0,0,0,0,0
NCT01064518,Efficacy and Safety Study of RT001 for the Treatment of Moderate to Severe Lateral Canthal Lines in Adults,PHASE2,90.0,INDUSTRY,"Lateral Canthal Lines, Crow's Feet, Facial Wrinkles",181,1,1,2,2,90.0,1,4,5,9,1055,18.0,65.0,47.0,0,1,0,1,0,0,0,0,0,0,0,0,1
NCT03039049,GNRH Agonist Trigger and Modified Luteal Phase Adding a Bolus of GnRHa at the Time of Implantation: a RCT,PHASE3,328.0,OTHER,Infertility,1096,2,1,2,1,164.0,1,0,1,1,433,18.0,40.0,22.0,1,0,1,0,0,0,0,0,0,0,0,0,1
NCT01999829,"Prevention of Atrial Fibrillation Following Valvular Replacement With Cardiopulmonary Bypass: a Prospective, Randomized Clinical Study Comparing Oral Caffeine With Placebo",PHASE3,110.0,OTHER,Atrial Fibrillation,973,1,1,2,2,110.0,1,4,10,14,1104,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCT01051648,Triamcinolone Assisted Anterior Vitrectomy,PHASE2,10.0,OTHER,"Vitrectomy, Cataract",182,2,1,1,1,5.0,0,1,3,4,244,47.0,79.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT02593773,"Safety, Tolerability and Efficacy of ACTIMMUNE® Dose Escalation in Friedreich's Ataxia Study",PHASE3,86.0,INDUSTRY,Friedreich's Ataxia,452,4,1,1,1,21.5,0,3,1,4,944,10.0,26.0,16.0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCT00722137,"Study of the Combination of Rituximab, Cyclophosphamide, Doxorubicin, VELCADE, and Prednisone or Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone in Patients With Newly Diagnosed Mantle Cell Lymphoma",PHASE3,487.0,INDUSTRY,Mantle Cell Lymphoma,3334,150,29,2,6,3.2466666666666666,1,16,11,27,5312,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT01781468,Armodafinil in Reducing Cancer-Related Fatigue in Patients With High Grade Glioma,PHASE3,328.0,OTHER,Fatigue,2368,365,1,3,3,0.8986301369863013,1,9,0,9,1895,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCT02194595,Preserving Beta-cell Function in Type 2 Diabetes With Exenatide and Insulin (PREVAIL),PHASE3,105.0,OTHER,Type 2 Diabetes,2708,1,1,3,3,105.0,1,0,0,0,1860,30.0,80.0,50.0,0,0,1,0,0,1,0,0,0,0,0,0,1
NCT03612011,Efficacy of the Cosmetic Product Onco-Repair on Grade 2 Hand Foot Syndrome,PHASE3,72.0,INDUSTRY,Grade 2 Hand-foot Syndrom,325,1,1,2,1,72.0,1,15,0,15,1676,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCT02195180,Efficacy and Safety of L-asparaginase Encapsulated in RBC Combined With Gemcitabine or FOLFOX in 2nd Line for Progressive Metastatic Pancreatic Carcinoma,PHASE2,141.0,INDUSTRY,Pancreatic Adenocarcinoma Metastatic,1218,16,1,2,3,8.8125,1,8,16,24,3588,18.0,65.0,47.0,0,1,0,1,0,0,0,0,0,0,0,0,1
NCT02562729,Complete Nerve-Sparing Radical Hysterectomy for Cervical Cancer,PHASE2,62.0,OTHER_GOV,"Cervical Squamous Cell Carcinoma, Cervical Adenocarcinoma, Malignant Neoplasm of Cervix Stage IB1, Stage IIA1 Cervical Cancer",366,1,1,1,1,62.0,0,6,7,13,616,18.0,70.0,52.0,1,1,0,0,1,0,0,0,0,0,0,0,1
NCT04197115,"Vitamin C, Thiamine, Cyanocobalamine, Pyridoxine and Hydrocortisone in Sepsis",PHASE3,19.0,OTHER,"Sepsis, Septic Shock",395,1,1,2,3,19.0,1,5,11,16,2644,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT01197157,Study of the Impact of Nitazoxanide on Chronic Hepatitis Patients,PHASE2/PHASE3,200.0,OTHER,Hepatitis C,1308,1,1,2,2,200.0,1,5,7,12,1080,18.0,60.0,42.0,0,1,1,0,0,0,0,0,0,0,0,0,1
